Student_ID,College,College_Tier,Department,CGPA,Gender,Program_Type,Attendance_%,Sessions_Attended,Sessions_Missed,Weekly_Consistency_Score,Login_Frequency,Time_Spent_Hours,Active_Days_Per_Week,Session_Duration_Avg,Videos_Watched,Video_Completion_%,Rewatch_Rate,Notes_Taken,Quizzes_Attempted,Quiz_Submission_Rate,Avg_Quiz_Score,Assignment_Submissions,On_Time_Submission_%,Doubts_Raised,Doubts_Resolved,Doubt_Response_Time,Peer_Discussion_Count,Hackathons_Attended,Workshops_Attended,Live_Sessions_Joined,Project_Demo_Events,Skills_Learned_Count,Domain_Transition,Project_Completion_Rate,Engagement_Score,Placement_Status,Job_Inquiries,Leads_Generated
ST_0046,RVCE,1,ECE,6.22,Female,B.Tech,72.2,57,23,5.1,4,12.3,1,62.0,76,67.0,0.24,Yes,6,85.4,40.9,6,88.5,3,2,3.9,12,1,7,12,3,12,Tech→AI,89.0,100.0,Placed,2,1
ST_0047,MSRIT,1,Civil,7.68,Male,B.E,63.7,50,30,6.0,2,18.8,3,60.0,12,55.4,0.29,No,11,68.6,93.1,11,60.9,5,3,2.5,4,4,2,19,3,12,No,28.5,100.0,Placed,6,4
ST_0048,PESCE,2,ISE,7.76,Male,B.Tech,82.1,65,15,7.5,5,9.7,1,35.0,7,86.2,0.12,Yes,15,59.2,61.4,11,84.3,9,7,0.7,11,2,3,5,2,9,No,70.4,100.0,Placed,3,1
ST_0049,RVCE,1,ECE,6.96,Female,B.E,57.9,46,34,3.7,3,6.3,1,42.0,71,94.7,0.24,No,4,86.5,70.5,14,65.5,4,2,8.6,9,2,5,17,0,12,No,92.4,100.0,Placed,3,1
ST_0050,PESCE,2,ISE,8.3,Male,B.E,49.0,39,41,6.7,4,1.8,3,21.0,21,84.7,0.64,No,1,87.5,21.3,8,54.8,7,5,15.0,18,4,1,17,0,6,No,87.0,100.0,Not Placed,0,0
ST_0051,NMIT,3,CSE,7.08,Female,B.E,87.2,69,11,8.6,2,10.8,5,14.0,18,85.0,0.42,Yes,15,32.6,86.0,5,64.3,2,1,1.5,12,1,5,15,2,14,Non-tech→Tech,77.0,100.0,Placed,6,1
ST_0052,MSRIT,1,ECE,7.3,Female,B.E,80.5,64,16,6.0,2,28.7,5,27.0,13,85.9,0.47,No,14,62.1,100.0,10,69.8,3,1,15.6,8,1,7,7,2,10,Same,98.7,100.0,Placed,4,1
ST_0053,MSRIT,1,Civil,7.06,Female,B.Tech,58.9,47,33,3.8,3,16.9,3,62.0,66,57.1,0.5,No,10,90.0,84.4,7,65.3,5,4,1.6,10,1,6,16,1,14,Non-tech→Tech,37.7,100.0,Placed,5,1
ST_0054,RVCE,1,ECE,7.21,Female,B.E,92.3,73,7,6.2,2,21.6,4,57.0,25,68.2,0.15,Yes,5,68.1,86.9,11,79.6,2,1,4.5,4,1,4,7,1,6,Non-tech→Tech,45.8,100.0,Placed,4,1
ST_0055,MSRIT,1,ECE,6.32,Male,B.E,82.2,65,15,5.4,7,8.7,1,51.0,41,79.8,0.68,No,12,73.4,54.6,4,44.9,2,1,2.5,12,2,3,14,0,10,Tech→AI,71.2,100.0,Placed,7,4
ST_0056,SJCE,3,ECE,6.05,Female,B.E,47.9,38,42,3.4,1,4.0,1,23.0,15,87.1,0.4,Yes,18,77.8,66.5,1,61.6,5,4,0.7,9,1,1,9,2,6,Tech→AI,77.8,100.0,Placed,5,1
ST_0057,MSRIT,1,CSE-AI,8.48,Male,B.Tech,85.5,68,12,7.2,4,6.5,3,34.0,24,80.3,0.03,No,9,70.1,70.8,12,58.8,6,4,0.5,17,1,4,0,0,14,Same,67.6,100.0,Placed,4,4
ST_0058,PESCE,2,ECE,6.52,Female,M.Tech,81.4,65,15,5.9,2,14.3,3,32.0,39,82.8,0.37,Yes,18,73.5,49.4,14,40.4,4,3,2.7,14,0,4,8,1,2,Same,80.2,100.0,Placed,5,2
ST_0059,PESCE,2,ISE,6.41,Male,B.Tech,89.7,71,9,6.8,4,1.0,4,43.0,57,92.1,0.25,Yes,4,74.4,59.8,3,74.9,2,1,0.5,19,0,4,16,3,11,Tech→AI,45.7,100.0,Placed,6,2
ST_0060,PESCE,2,CSE,5.48,Female,B.E,68.6,54,26,8.1,7,8.0,6,42.0,51,54.1,0.5,Yes,6,89.3,44.0,11,78.6,5,4,0.7,11,1,4,19,2,10,Same,59.6,100.0,Not Placed,0,0
ST_0061,PESCE,2,ME,6.69,Male,B.E,66.5,53,27,6.7,3,10.9,5,30.0,79,62.9,0.58,No,10,82.3,54.9,0,62.4,3,1,0.9,3,0,4,0,0,10,No,82.5,100.0,Placed,4,3
ST_0062,SJCE,3,ECE,6.14,Male,B.E,74.5,59,21,8.3,7,5.8,2,50.0,56,41.1,0.34,No,13,21.5,77.1,0,71.6,5,3,0.5,4,3,1,8,0,8,Tech→AI,86.3,100.0,Not Placed,0,0
ST_0063,BMSCE,2,Civil,8.51,Female,B.E,60.7,48,32,4.2,3,1.0,6,48.0,12,73.9,0.22,No,15,67.5,30.2,5,59.2,2,1,1.0,7,1,2,13,0,6,Same,65.0,100.0,Not Placed,0,0
ST_0064,NMIT,3,ECE,8.01,Female,B.E,71.3,57,23,5.8,5,17.0,7,34.0,8,88.6,0.09,Yes,17,63.9,79.2,14,86.7,3,2,5.2,4,1,4,4,1,13,Tech→AI,71.6,100.0,Not Placed,0,0
ST_0065,RVCE,1,Civil,6.65,Female,B.E,68.6,54,26,6.3,5,15.3,5,50.0,31,61.3,0.31,Yes,3,73.6,33.6,1,84.8,1,0,10.3,0,0,6,5,1,14,Same,90.2,100.0,Not Placed,0,0
ST_0066,PESCE,2,ISE,9.0,Female,B.E,72.5,58,22,4.7,6,20.5,1,62.0,48,85.5,0.46,No,0,0.0,62.9,5,91.5,5,4,1.3,17,0,6,4,0,3,No,51.4,100.0,Placed,5,4
ST_0067,MSRIT,1,Civil,7.99,Male,B.E,77.3,61,19,4.7,5,7.2,7,66.0,44,44.0,0.14,No,14,58.7,64.6,0,54.7,3,1,0.5,18,1,3,3,0,10,Non-tech→Tech,63.7,100.0,Placed,4,3
ST_0068,PESCE,2,ME,6.94,Female,B.Tech,59.0,47,33,6.2,5,20.3,6,52.0,51,62.4,0.31,Yes,13,67.8,72.3,10,67.9,4,2,7.8,18,4,1,15,0,9,Same,95.1,100.0,Placed,4,2
ST_0069,MSRIT,1,CSE,5.2,Male,B.E,95.1,76,4,8.3,3,25.7,3,52.0,48,91.5,0.77,Yes,18,65.5,58.8,9,72.8,1,0,0.5,9,1,0,15,3,2,Non-tech→Tech,95.1,100.0,Not Placed,0,0
ST_0070,NMIT,3,Civil,9.03,Male,B.E,88.4,70,10,6.9,3,16.8,4,41.0,52,54.4,0.15,Yes,4,76.4,43.2,2,81.6,4,2,7.9,8,3,2,9,2,7,Tech→AI,88.4,100.0,Placed,6,4
ST_0071,NMIT,3,Civil,6.09,Female,B.Tech,75.7,60,20,6.5,7,10.7,5,60.0,56,29.0,0.62,Yes,3,90.0,65.3,13,76.5,6,4,0.8,0,0,3,13,1,3,No,76.1,100.0,Placed,6,1
ST_0072,NMIT,3,CSE,5.88,Male,B.E,44.5,35,45,4.3,4,16.0,4,29.0,72,60.2,0.22,No,12,45.1,100.0,8,63.2,8,4,1.6,19,0,6,12,3,12,Tech→AI,72.8,100.0,Placed,7,4
ST_0073,MSRIT,1,ME,8.02,Male,B.Tech,86.0,68,12,5.3,4,10.4,7,59.0,15,81.2,0.22,Yes,17,72.0,61.7,1,56.4,2,1,0.8,2,2,4,3,1,6,Same,92.7,100.0,Placed,6,3
ST_0074,PESCE,2,ECE,9.15,Male,B.E,59.8,47,33,4.9,6,9.2,5,41.0,77,40.9,0.4,No,11,89.9,46.1,7,39.6,3,1,1.7,12,1,1,13,2,5,Non-tech→Tech,62.0,100.0,Placed,3,4
ST_0075,NMIT,3,Civil,8.31,Male,B.E,96.3,77,3,6.5,4,19.8,6,67.0,8,79.1,0.09,Yes,14,69.9,53.6,5,49.8,4,3,9.6,5,1,1,8,1,13,No,57.6,100.0,Placed,2,3
ST_0076,SJCE,3,CSE,7.65,Female,B.Tech,69.3,55,25,4.6,7,14.0,1,54.0,77,79.3,0.37,Yes,8,87.9,64.7,11,52.8,6,4,0.9,5,0,4,2,2,6,No,71.2,100.0,Not Placed,0,0
ST_0077,MSRIT,1,ISE,7.68,Female,B.Tech,58.3,46,34,7.3,5,23.4,2,44.0,52,66.1,0.13,No,3,84.4,57.2,5,81.5,4,3,30.9,17,0,6,9,0,8,Same,78.7,100.0,Not Placed,0,0
ST_0078,MSRIT,1,CSE,7.88,Female,B.Tech,65.9,52,28,6.4,5,11.9,4,41.0,30,76.6,0.1,No,4,72.9,54.7,6,93.2,2,0,2.4,4,1,3,14,1,14,Tech→AI,78.6,100.0,Not Placed,0,0
ST_0079,PESCE,2,ISE,7.81,Female,B.E,69.6,55,25,7.1,6,12.6,4,53.0,43,73.7,0.63,Yes,8,47.6,85.9,4,93.8,4,3,15.3,16,3,1,18,2,3,No,61.4,100.0,Placed,2,1
ST_0080,MSRIT,1,ME,7.42,Male,B.E,71.0,56,24,5.5,1,11.0,2,52.0,62,44.4,0.2,No,12,85.2,71.3,11,70.8,6,5,1.3,2,0,5,1,0,2,No,78.1,100.0,Placed,5,3
ST_0081,MSRIT,1,ECE,7.28,Male,B.E,57.9,46,34,5.0,3,7.2,4,39.0,23,79.8,0.29,Yes,9,34.4,59.9,10,26.4,4,2,1.2,4,4,6,1,0,8,Same,69.8,100.0,Not Placed,0,0
ST_0082,NMIT,3,CSE,7.15,Female,B.E,78.0,62,18,5.6,4,20.7,4,46.0,62,69.8,0.71,No,15,91.4,60.0,3,77.9,0,0,5.0,2,0,6,8,0,1,Same,48.6,100.0,Placed,2,3
ST_0083,PESCE,2,CSE-AI,6.6,Female,M.Tech,78.4,62,18,5.1,3,30.3,5,58.0,32,61.5,0.38,Yes,12,68.9,65.1,5,46.8,6,4,0.5,12,1,2,3,0,2,No,94.2,100.0,Not Placed,0,0
ST_0084,NMIT,3,Civil,6.98,Female,B.E,46.8,37,43,3.5,5,12.3,5,25.0,70,30.8,0.48,No,3,68.1,72.1,7,66.6,9,4,9.7,14,0,3,4,0,10,Non-tech→Tech,72.6,100.0,Placed,2,2
ST_0085,NMIT,3,ME,5.85,Male,M.Tech,83.3,66,14,8.2,7,10.2,2,56.0,14,32.7,0.3,Yes,12,76.5,85.1,3,66.8,3,2,3.5,16,1,6,1,1,1,Tech→AI,91.4,100.0,Placed,6,3
ST_0086,PESCE,2,CSE,7.12,Female,B.E,65.7,52,28,6.7,4,9.8,7,53.0,62,63.8,0.47,Yes,7,84.5,54.6,4,65.5,6,3,7.2,14,0,7,6,0,5,Tech→AI,89.2,100.0,Not Placed,0,0
ST_0087,RVCE,1,Civil,6.41,Female,B.E,57.7,46,34,5.6,4,10.2,1,63.0,77,63.4,0.12,No,12,59.6,44.1,6,80.8,3,2,1.2,4,0,4,18,0,8,Same,72.8,100.0,Not Placed,0,0
ST_0088,NMIT,3,CSE,6.32,Female,B.E,72.0,57,23,6.2,7,26.5,6,34.0,18,81.3,0.34,No,14,57.0,52.0,5,34.0,3,2,6.2,13,4,7,5,3,2,Non-tech→Tech,80.5,100.0,Placed,7,2
ST_0089,SJCE,3,ISE,7.34,Male,B.Tech,76.2,60,20,8.3,4,10.0,6,45.0,19,85.6,0.33,Yes,19,78.6,46.2,12,60.7,2,1,5.4,10,2,6,15,1,4,Tech→AI,68.8,100.0,Not Placed,0,0
ST_0090,SJCE,3,CSE,8.31,Male,B.Tech,35.6,28,52,2.4,4,10.9,7,48.0,37,74.2,0.2,Yes,19,51.5,34.5,3,80.4,5,3,8.5,13,2,7,13,0,4,Tech→AI,81.8,100.0,Placed,6,2
ST_0091,MSRIT,1,CSE-AI,7.93,Male,B.Tech,93.6,74,6,6.7,4,6.3,4,56.0,21,79.4,0.35,Yes,12,56.5,87.4,12,82.7,5,4,2.1,6,0,3,11,1,11,Same,68.5,100.0,Placed,7,2
ST_0092,SJCE,3,CSE,5.94,Male,B.Tech,56.8,45,35,4.8,7,17.1,1,51.0,28,85.2,0.32,No,4,70.6,77.4,3,79.2,1,0,16.2,2,4,7,5,2,11,Non-tech→Tech,67.5,100.0,Placed,7,4
ST_0093,MSRIT,1,CSE,6.41,Male,B.Tech,70.9,56,24,7.4,5,14.5,2,26.0,34,63.0,0.25,No,5,84.2,20.9,9,72.2,4,3,19.5,19,1,5,12,2,7,No,72.1,100.0,Placed,3,2
ST_0094,RVCE,1,CSE-AI,7.95,Male,B.Tech,69.1,55,25,8.1,6,7.0,7,49.0,66,70.5,0.07,No,4,53.9,65.9,3,53.5,3,2,12.2,9,3,6,14,0,1,Non-tech→Tech,79.6,100.0,Placed,4,3
ST_0095,PESCE,2,ME,6.41,Male,B.E,81.6,65,15,5.9,6,8.8,2,75.0,17,60.2,0.41,Yes,12,89.0,55.2,0,56.0,3,2,5.1,10,0,3,13,3,9,Same,75.5,100.0,Placed,3,1
ST_0096,PESCE,2,CSE,7.02,Male,B.E,83.3,66,14,8.5,4,25.7,5,54.0,66,55.5,0.18,No,4,71.4,53.1,4,51.9,1,0,3.3,5,0,6,7,2,3,Non-tech→Tech,51.7,100.0,Placed,5,1
ST_0097,PESCE,2,CSE-AI,7.64,Female,B.E,77.2,61,19,8.0,4,15.2,4,70.0,51,68.3,0.18,Yes,12,80.7,17.2,7,81.2,3,1,0.5,4,5,0,19,2,6,Non-tech→Tech,85.8,100.0,Placed,1,1
ST_0098,SJCE,3,Civil,6.43,Female,M.Tech,31.5,25,55,2.8,6,15.7,3,61.0,20,65.9,0.2,Yes,19,89.1,61.5,6,73.0,1,0,17.7,19,1,7,10,0,10,Tech→AI,67.5,100.0,Placed,1,4
ST_0099,RVCE,1,ISE,7.28,Male,M.Tech,45.7,36,44,4.3,4,15.7,2,65.0,70,59.1,0.45,No,7,88.0,63.4,4,88.4,5,3,18.2,12,3,7,8,0,14,No,73.7,100.0,Placed,4,4
ST_0100,SJCE,3,ISE,6.13,Male,B.E,78.8,63,17,6.4,6,24.8,7,50.0,47,87.6,0.54,No,8,93.7,40.8,2,44.1,6,5,0.5,11,1,4,11,1,5,No,85.8,100.0,Not Placed,0,0
ST_0101,SJCE,3,CSE,6.72,Female,B.Tech,69.0,55,25,8.1,7,7.7,4,53.0,12,84.8,0.17,No,18,43.2,91.2,14,75.2,4,2,2.6,18,1,2,5,0,4,No,76.4,100.0,Not Placed,0,0
ST_0102,RVCE,1,ME,7.46,Male,M.Tech,74.2,59,21,5.2,5,12.2,1,49.0,7,70.7,0.37,No,19,81.7,76.2,14,68.1,4,3,12.7,18,3,4,18,0,9,Tech→AI,84.1,100.0,Not Placed,0,0
ST_0103,RVCE,1,ME,5.93,Male,B.E,78.7,62,18,7.9,5,13.8,7,45.0,16,35.6,0.16,No,14,77.9,42.8,10,91.6,1,0,0.5,4,2,0,2,0,11,Tech→AI,80.8,100.0,Not Placed,0,0
ST_0104,RVCE,1,Civil,7.55,Male,B.E,81.9,65,15,6.3,6,3.0,5,56.0,20,89.1,0.22,No,9,95.7,80.4,0,89.7,6,3,1.3,19,2,4,0,2,12,Same,70.6,100.0,Placed,3,1
ST_0105,RVCE,1,CSE,7.18,Female,M.Tech,85.1,68,12,8.0,6,8.6,6,37.0,63,82.5,0.07,Yes,10,85.4,53.6,12,71.7,1,0,23.1,8,0,4,14,0,14,Same,71.3,100.0,Placed,5,2
ST_0106,PESCE,2,ISE,7.64,Female,B.E,67.8,54,26,5.7,4,22.3,1,73.0,53,76.4,0.05,Yes,4,94.4,81.0,6,63.3,3,2,11.3,3,0,2,14,0,9,Non-tech→Tech,77.0,100.0,Placed,5,2
ST_0107,BMSCE,2,ME,7.38,Female,B.Tech,67.8,54,26,6.4,2,20.3,2,31.0,67,71.4,0.35,No,8,80.9,36.0,12,98.0,2,1,14.6,14,0,7,4,3,1,Tech→AI,73.8,100.0,Placed,1,1
